,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
605,m_3907628_sw_18_1_20170611_inference_,0.0,0.99998317061228,0.0,,0,46882276,0,46881487,789,0
606,m_3907639_nw_18_1_20170611_inference_,0.0,0.9978374164390007,0.0,,0,46588720,0,46487968,100752,0
607,m_3907623_ne_18_1_20170611_inference_,0.0,0.9994364152391143,0.0,,0,46323112,0,46297005,26107,0
608,m_3907618_sw_18_1_20170609_inference_,0.0,0.9996755425679987,0.0,,0,47038528,0,47023266,15262,0
609,m_3807557_nw_18_1_20170611_inference_,0.0,0.9473623018440634,0.0,,0,47082112,0,44603818,2478294,0
610,m_3807623_sw_18_1_20170730_inference_,,1.0,,,0,46964368,0,46964368,0,0
611,m_3807545_ne_18_1_20170611_inference_,0.4117647058823529,0.9985098511445809,0.9268904505677575,0.42558710006418315,113737,46291023,48405,46287205,3818,65332
612,m_3807502_ne_18_1_20170609_inference_,0.23422560562775566,0.9990016886451744,0.6398412125586431,0.26979628326327204,52573,46398867,14184,46390883,7984,38389
613,m_3807648_se_18_1_20170611_inference_,,1.0,,,0,47027740,0,47027740,0,0
614,m_3807510_sw_18_1_20170611_inference_,0.5641703223488195,0.9987503547018766,0.8791661319863278,0.6115935207427124,123224,46465196,75363,46454838,10358,47861
615,m_3807625_se_18_1_20170626_inference_,,1.0,,,0,47729368,0,47729368,0,0
616,m_3807716_se_18_1_20170716_inference_,0.0,0.999791850828984,0.0,,0,47720584,0,47710651,9933,0
617,m_3807631_sw_18_1_20170730_inference_,0.0,0.9999873890116254,0.0,,0,47101780,0,47101186,594,0
618,m_3907644_sw_18_1_20170611_inference_,0.0,0.9889591094195421,0.0,,0,47020120,0,46500976,519144,0
619,m_3907645_se_18_1_20170611_inference_,0.0,0.9995842876764315,0.0,,0,46808812,0,46789353,19459,0
620,m_3907549_se_18_1_20170709_inference_,0.5232941310152832,0.9992766291513322,0.8992652981522614,0.5558791134179278,66277,46330395,36842,46326268,4127,29435
621,m_3807546_nw_18_1_20170611_inference_,0.46207185360485387,0.9988073749076949,0.9295664269900669,0.478836566215207,99086,46214714,47446,46211119,3595,51640
622,m_3907558_nw_18_1_20170609_inference_,0.05642665042878165,0.9991978019038777,0.9289891395154553,0.05667108347772908,39244,46320876,2224,46320706,170,37020
623,m_3807647_sw_18_1_20170730_inference_,,1.0,,,0,47193388,0,47193388,0,0
624,m_3807543_sw_18_1_20170611_inference_,0.14790751003248614,0.9994280865795773,0.9793336145086461,0.148370607028754,31300,46748508,4644,46748410,98,26656
625,m_3907619_ne_18_1_20170611_inference_,0.0,0.9999816415254589,0.0,,0,46790380,0,46789521,859,0
626,m_3907642_nw_18_1_20170609_inference_,0.0,0.9996826871538627,0.0,,0,47268808,0,47253809,14999,0
627,m_3907542_ne_18_1_20170609_inference_,0.10377566791786266,0.9995605000532727,0.6772334293948127,0.1091753774680604,21525,46155955,2350,46154835,1120,19175
628,m_3807652_ne_18_1_20170730_inference_,,1.0,,,0,47534224,0,47534224,0,0
629,m_3907639_se_18_1_20170611_inference_,,1.0,,,0,46515544,0,46515544,0,0
630,m_3807540_ne_18_1_20170611_inference_,0.0,0.9999585662035941,0.0,,0,45976960,0,45975055,1905,0
631,m_3807609_se_18_1_20170716_inference_,0.0,0.9993122468019298,0.0,,0,47591200,0,47558469,32731,0
632,m_3907620_se_18_1_20170611_inference_,,1.0,,,0,46707808,0,46707808,0,0
633,m_3807517_ne_18_1_20170611_inference_,0.6215982856191744,0.9992206055480286,0.8614410933625511,0.6906503924084284,86517,46584331,59753,46574720,9611,26764
634,m_3907619_nw_18_1_20170609_inference_,0.0,0.9998463644634843,0.0,,0,46909720,0,46902513,7207,0
635,m_3807608_ne_18_1_20170611_inference_,0.4868889293738993,0.9990946143537625,0.5912858786394879,0.7338764302059496,54625,46607259,40088,46579549,27710,14537
636,m_3907517_se_18_1_20170609_inference_,,1.0,,,0,46122496,0,46122496,0,0
637,m_3907622_ne_18_1_20170611_inference_,,1.0,,,0,46497040,0,46497040,0,0
638,m_3807708_nw_18_1_20170725_inference_,0.0,0.9999238761589184,0.0,,0,47711728,0,47708096,3632,0
